"CS.OTU.hit","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU100","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","",""
"OTU10000","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",""
"OTU10003","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"OTU10004","Bacteria","Proteobacteria","Betaproteobacteria","Procabacteriales","Procabacteriaceae","",""
"OTU10005","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","",""
"OTU10007","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU1001","Bacteria","Acidobacteria","Acidobacteria-6","CCU21","","",""
"OTU10013","Bacteria","TM6","SJA-4","","","",""
"OTU10015","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","","",""
"OTU10016","Bacteria","","","","","",""
"OTU1002","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU10020","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","","",""
"OTU1003","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU10034","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","","",""
"OTU1004","Bacteria","Acidobacteria","iii1-8","32-20","","",""
"OTU10042","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","",""
"OTU10043","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","",""
"OTU1005","Bacteria","Proteobacteria","Deltaproteobacteria","Spirobacillales","","",""
"OTU10051","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"OTU1006","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","RB40","",""
"OTU10062","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","",""
"OTU10068","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",""
"OTU1007","Bacteria","WS3","PRR-12","Sediment-1","","",""
"OTU10077","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","",""
"OTU1008","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU10080","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10084","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas",""
"OTU10088","Bacteria","Verrucomicrobia","[Pedosphaerae]","[Pedosphaerales]","","",""
"OTU1009","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU10094","Bacteria","Acidobacteria","Sva0725","Sva0725","","",""
"OTU101","Bacteria","Gemmatimonadetes","Gemmatimonadetes","","","",""
"OTU1010","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","",""
"OTU1011","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","","",""
"OTU10111","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","",""
"OTU10114","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10115","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",""
"OTU10118","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10119","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",""
"OTU1012","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","","",""
"OTU10124","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"OTU1013","Bacteria","Planctomycetes","BD7-11","","","",""
"OTU10138","Bacteria","Proteobacteria","Betaproteobacteria","MND1","","",""
"OTU10145","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",""
"OTU1015","Bacteria","WS3","PRR-12","Sediment-1","","",""
"OTU10155","Bacteria","TM6","SJA-4","","","",""
"OTU1016","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",""
"OTU10162","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10165","Bacteria","Spirochaetes","Spirochaetes","Spirochaetales","Spirochaetaceae","",""
"OTU10166","Bacteria","Planctomycetes","BD7-11","","","",""
"OTU1017","Bacteria","Acidobacteria","RB25","","","",""
"OTU1018","Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","","",""
"OTU10185","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84","","",""
"OTU1019","Bacteria","Verrucomicrobia","[Methylacidiphilae]","Methylacidiphilales","","",""
"OTU10195","Bacteria","TM6","SJA-4","","","",""
"OTU10208","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia",""
"OTU1021","Bacteria","Acidobacteria","","","","",""
"OTU10210","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","",""
"OTU10211","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10213","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10218","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU10219","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","",""
"OTU1022","Bacteria","Proteobacteria","Betaproteobacteria","","","",""
"OTU10220","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","","",""
"OTU10224","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","Candidatus Protochlamydia",""
"OTU10226","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Parachlamydiaceae","",""
"OTU1023","Bacteria","Acidobacteria","iii1-8","32-20","","",""
"OTU10230","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","",""
"OTU10234","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","",""
"OTU10237","Bacteria","TM6","SJA-4","","","",""
